First Name,Last Name,Citation Count,Gender of Citation,Article Author,Gender of Article Author,JS or RS,field,journal,time period
Philip,Fishman,0,1,1,1,JS,1,MJ,3
Joel,Fishman,3,1,0,1,JS,5,AJSR,3
Joshua,Fishman,1,1,0,1,JS,3,PRO,3
Joshua,Fishman,1,1,0,0,JS,3,PRO,3
Mary,Fissel,1,0,0,0,JS,3,JQR,3
Timothy,Fitzgerald,1,1,0,1,RS,2,JAAR,3
Deborah,Fitzgerald,1,0,0,0,JS,3,PRO,3
Joan,Fitzpatrick,1,1,0,0,JS,3,JQR,3
Karen,Fjelstad,2,0,0,0,RS,5,JAAR,3
Owen,Flanagan,2,1,0,1,RS,5,JAAR,3
Maureen,Flanagan,1,0,0,1,JS,1,JSS,3
Hilene,Flanzbaum,7,0,0,0,JS,3,PRO,3
Ezra,Fleischer,1,1,0,1,JS,2,JQR,2
Gustav,Fleischman,1,1,0,1,JS,1,MJ,3
Gavin,Flood,1,1,0,1,RS,5,JAAR,3
Willem,Floor,1,1,0,1,JS,1,JQR,3
Ronald,Florence,1,1,0,1,JS,5,AJSR,3
Mary Lou,Florian,1,0,0,0,JS,1,JQR,3
Frances,Flower,1,0,0,0,JS,3,PRO,3
Paul,Flowers,2,1,0,0,RS,4,JAAR,1
Paul,Flowers,2,1,0,0,RS,4,JAAR,1
Michael,Floyd,3,1,0,0,JS,3,PRO,3
David,Flusser,1,1,0,0,JS,1,JSS,3
Shaw,Flynn,2,1,0,1,RS,5,JAAR,3
Charlotte,Fonrobert,2,0,0,0,JS,4,JQR,1
Charlotte,Fonrobert,2,0,0,1,JS,4,AJSR,1
Charlotte,Fonrobert,1,0,0,0,JS,4,PRO,1
Resianne,Fontaine,1,0,0,1,RS,2,JAAR,2
David,Ford,1,1,0,0,RS,1,JAAR,3
Elizabeth,Foster,1,0,0,1,RS,1,JAAR,3
Michel,Foucault,2,1,0,1,RS,4,JAAR,1
Michel,Foucault,1,1,0,1,RS,5,JAAR,3
Michel,Foucault,5,1,0,1,RS,2,JAAR,3
Michel,Foucault,1,1,0,0,RS,5,JAAR,3
Etienne,Fouilloux,1,1,0,0,JS,1,JSS,3
Roman,Foxbrunner,1,1,0,1,JS,1,AJSR,3
Niklas,Foxeus,21,1,1,1,RS,5,JAAR,3
Neil,Foxlee,1,1,0,0,JS,1,JSS,3
Abraham,Foxman,1,1,0,1,JS,5,MJ,3
Steven,Fraade,9,1,0,0,JS,4,JQR,1
Steven,Fraade,4,1,0,0,JS,4,AJSR,1
Steven,Fraade,3,1,0,1,JS,4,PRO,1
Daniel,Fraenkel,2,1,0,0,JS,1,JSS,3
Avraham,Fraenkel,1,1,0,0,JS,1,JSS,3
Jerold,Frakes,3,1,0,0,JS,3,JQR,3
Jerold,Frakes,1,1,0,1,JS,1,JQR,3
Edward,Fram,1,1,0,0,JS,1,JQR,3
Etienne,Francois,1,1,0,1,JS,1,JSS,3
Elena,Frangakis-Syrett,3,0,0,0,JS,1,JQR,3
Daniel,Frank,2,1,0,1,JS,2,JQR,2
Menachem,Frank,3,1,0,1,JS,1,MJ,3
Joseph,Frank,1,1,0,0,JS,3,PRO,3
Jeannine Levana,Frank,1,0,0,0,JS,3,PRO,3
Joseph,Frank,4,1,0,1,JS,3,JSS,3
Laura,Frank Shaw,2,0,0,1,JS,1,JSS,3
William,Franke,1,1,0,1,RS,2,JAAR,2
Katherine,Franke,1,0,0,0,RS,1,JAAR,3
Jonathan,Frankel,1,1,0,0,JS,1,JQR,3
Jonathan,Frankel,1,1,0,1,JS,1,MJ,3
Meir,Frankel,1,1,0,1,JS,1,MJ,3
Jonathan,Frankel,1,1,0,1,JS,5,AJSR,3
Chava,Frankel-Goldschmidt,3,0,0,0,JS,1,JQR,3
Nancy,Frankenberry,1,0,0,1,RS,5,JAAR,3
David,Frankfurter,1,1,0,0,JS,4,JQR,1
Michal,Frankl,1,0,0,0,JS,1,JSS,3
Erich,Frauwallner,1,1,0,1,RS,4,JAAR,1
Mary,Frazer,1,0,0,1,JS,4,PRO,1
Robeso,Frazier,1,0,0,0,RS,5,JAAR,3
Chris,Fredericks,1,1,0,0,JS,1,JQR,3
George,Frederickson,1,1,0,0,JS,1,AJSR,3
Ruth ,Fredman Cernea,2,0,0,0,JS,1,JSS,3
Samuel,Freedman,1,1,0,0,RS,1,JAAR,3
Samuel,Freedman,1,1,0,1,JS,1,MJ,3
AE,Freedman,1,1,0,0,JS,3,PRO,3
Jonathan,Freedman,1,1,0,1,JS,5,JSS,3
Richard,Freeman,4,1,0,0,RS,1,JAAR,3
ChaeRan,Freeze,5,0,0,1,JS,1,JSS,3
Hans,Frei,1,1,0,1,RS,2,JAAR,3
Hayim,Freidberg,2,1,0,1,JS,2,MJ,3
Aaron Mordecai,Freiman,1,1,0,1,JS,1,MJ,3
Patrick,French,2,1,0,1,RS,1,JAAR,3
Eric,Freudenstien,1,1,0,1,JS,1,MJ,3
Scott,Freundschuh,1,1,0,0,JS,1,JSS,3
Jean-Baptiste,Frey,1,1,0,1,JS,4,AJSR,1
Hayim Dov,Frieberg,1,1,0,1,JS,2,JSS,3
Ken,Frieden,1,1,0,0,JS,3,JQR,3
Ken,Frieden,1,1,0,1,JS,2,JQR,3
Ken,Frieden,2,1,0,0,JS,3,PRO,3
Ken,Frieden,1,1,0,0,JS,1,JSS,3
Israel,Friedin,1,1,0,1,JS,1,MJ,3
Richard,Friedman,1,1,0,0,RS,5,JAAR,3
Jonathan,Friedman,2,1,0,1,RS,5,JAAR,3
Jonathan,Friedman,2,1,0,1,RS,5,JAAR,3
Mordecai Akiva,Friedman,2,1,0,1,JS,2,JQR,2
Shamma,Friedman,1,1,0,0,JS,4,JQR,1
Menachem,Friedman,1,1,0,1,JS,1,MJ,3
Menachem,Friedman,8,1,0,1,JS,1,AJSR,3
Joshua,Friedman,1,1,0,0,JS,1,AJSR,3
John,Friedman,1,1,0,0,JS,5,AJSR,3
Menachem,Friedman,1,1,0,0,JS,5,AJSR,3
John,Friedman,1,1,0,0,JS,3,PRO,2
Menachem,Friedman,1,1,0,1,JS,1,JSS,3
Saul,Friedman,2,1,0,1,JS,1,JSS,3
Yohanan,Friedmann,1,1,0,1,RS,1,JAAR,3
Evyatar,Friesel,2,1,0,1,JS,1,MJ,3
Alejandro,Frigerio,1,1,0,1,RS,5,JAAR,3
Tuvia,Frilling,1,1,0,1,JS,1,MJ,3
Aryeh,Frimer,3,1,0,1,JS,1,JSS,3
Dov,Frimer,3,1,0,1,JS,1,JSS,3
William,Frost,1,1,0,0,RS,1,JAAR,3
Stanley,Frye,1,1,0,1,RS,5,JAAR,3
Matthew,Frye Jacobson,1,1,0,1,JS,5,AJSR,3
Tikva,Frymer-Kensky,2,0,0,0,JS,4,JQR,1
Youde,Fu,3,1,0,0,JS,5,AJSR,3
Ilan,Fuchs,1,1,0,0,JS,5,AJSR,3
Daniel,Fuchs,1,1,0,0,JS,3,PRO,3
Ilan,Fuchs,1,1,0,1,JS,1,JSS,3
Elinor,Fuchs,1,0,0,0,JS,1,JSS,3
Thomas,Fudge,1,1,0,1,RS,5,JAAR,3
Eugene,Fugle,5,1,0,1,RS,5,JAAR,3
Malte,Fuhrmann,4,1,0,0,JS,1,JSS,3
Alexander,Fuks,2,1,0,1,JS,4,AJSR,1
Christopher,Fuller,1,1,0,0,RS,5,JAAR,3
Robert,Fuller,1,1,0,1,JS,4,AJSR,1
Amos,Funkenstein,1,1,0,1,JS,3,PRO,3
Amos,Funkenstein,1,1,0,0,JS,3,PRO,2
Yisrael,Furman,1,1,0,1,JS,2,MJ,3
Rochelle,Furstenberg,1,0,0,1,JS,1,JSS,3
Greta,Gaarde,1,0,0,0,JS,3,PRO,3
Emilio,Gabba,1,1,0,1,JS,4,AJSR,1
Uri,Gabbay,2,1,0,1,JS,4,PRO,1
Isaiah,Gaffney,1,1,0,0,JS,4,AJSR,1
Ophir,Gafla,1,1,0,1,JS,3,PRO,3
Allon,Gal,1,1,0,1,JS,1,MJ,3
Susan,Gal,1,0,0,0,JS,1,JSS,3
Ernesto,Galarza,1,1,0,1,RS,5,JAAR,3
Patrick,Galbraith,2,1,0,0,RS,4,JAAR,1
Patrick,Galbraith,2,1,0,0,RS,4,JAAR,1
Michael,Galchinsky,1,1,0,1,JS,5,AJSR,3
Ruth,Galinski,1,0,0,0,JS,1,JSS,3
Gerald,Gamm,2,1,0,0,JS,1,AJSR,3
Jonardon,Ganeri,1,1,0,1,RS,3,JAAR,3
Jonardon,Ganeri,1,1,0,1,RS,2,JAAR,1
Mila,Ganeva,1,0,0,0,JS,1,JSS,3
Tuhina,Ganguly,0,0,1,0,RS,5,JAAR,3
Chaim,Gans,1,1,0,1,JS,1,MJ,3
Jonathan,Garb,3,1,0,1,JS,2,MJ,3
Linda,Garber,1,0,0,0,JS,3,PRO,3
Mario,Garcia,5,1,0,1,RS,5,JAAR,3
Florentio,Garcia Martquez,1,1,0,1,JS,4,JQR,1
Peter,Gardella,1,1,0,0,RS,1,JAAR,3
Peter,Gardella,1,1,0,1,RS,5,JAAR,3
Gregg,Gardner,1,1,0,0,JS,4,PRO,1
Jay,Garfield,19,1,0,1,RS,3,JAAR,3
Jay ,Garfield,28,1,0,1,RS,2,JAAR,1
Alan,Garfinkel,1,1,0,1,RS,5,JAAR,3
Florentio,Garica Marquez,1,1,0,1,JS,4,AJSR,1
Mercedes,Garica-Arenal,1,0,0,0,JS,1,JQR,3
Bina,Garncarska-Kadari,1,0,0,1,JS,2,MJ,3
Sandra,Garner,1,0,0,1,RS,5,JAAR,3
Jane,Garnett,1,0,0,0,RS,5,JAAR,3
Virginia,Garrard-Burnett,1,0,0,0,RS,5,JAAR,3
Leah,Garrett,3,0,0,0,JS,3,PRO,3
Leah,Garrett,5,0,0,0,JS,3,PRO,3
Leah,Garrett,2,0,0,1,JS,5,JSS,3
Luke,Gartlan,2,1,0,0,JS,1,JSS,3
Israel Jacobo,Garzon,1,1,0,0,JS,1,JSS,3
John,Gascoigne,1,1,0,1,RS,1,JAAR,3
Azar,Gat,3,1,0,1,RS,5,JAAR,3
Henry Louis,Gates,1,1,0,1,JS,5,AJSR,3
Anita,Gates,2,0,0,1,JS,5,JSS,3
Jorg,Gauger,4,1,0,1,JS,4,JQR,1
Manuel,Gaxiola,1,1,0,1,RS,5,JAAR,3
Maclovio,Gaxiola-Lopez,3,1,0,1,RS,5,JAAR,3
Ruth,Gay,2,0,0,0,JS,1,JSS,3
Roger,Geiger,1,1,0,0,RS,1,JAAR,3
Lily,Geismer,2,0,0,0,JS,1,AJSR,3
Nathan,Gelbar,1,1,0,1,JS,2,MJ,3
Yoav,Gelber,1,1,0,1,JS,1,MJ,3
Natan Michael,Gelber,2,1,0,1,JS,2,MJ,3
MJ,Geller,1,1,0,0,JS,4,JQR,1
MJ,Geller,2,1,0,1,JS,4,AJSR,1
Jay,Geller,4,1,1,1,JS,3,PRO,3
Jay Howard,Geller,1,1,0,0,JS,1,JSS,3
Jay,Geller,1,1,0,1,JS,1,JSS,3
Edith,Gelles,1,0,0,0,JS,1,JQR,3
Axel,Gellhaus,1,1,0,0,JS,3,PRO,3
Ezra,Gellman,1,1,0,1,JS,1,MJ,3
Uriel,Gellman,3,1,1,1,JS,2,MJ,3
Uriel,Gellman,1,1,0,1,JS,2,JSS,3
Gerard,Genette,1,1,0,1,JS,4,JQR,1
Dov,Gera,1,1,0,1,JS,4,JQR,1
Noah,Gerber,1,1,0,0,JS,1,JQR,3
Anders,Gerdmar,1,1,0,1,JS,1,JSS,3
Joel,Gereboff,1,1,0,1,JS,4,AJSR,1
Alfred,Gerhardt,1,1,0,1,RS,5,JAAR,3
Helmut,Gernsheim,1,1,0,0,JS,1,JSS,3
Israel,Gershoni,3,1,0,1,JS,1,JSS,3
Manfred,Gerstenfeld,1,1,0,1,JS,1,MJ,3
Haim,Gertner,2,1,0,0,JS,1,AJSR,3
Haim,Gertner,1,1,0,1,JS,1,JSS,3
Nurit,Gertz,1,0,0,1,JS,3,PRO,3
Nurith,Gertz,8,1,0,0,JS,3,PRO,3
Gabriela,Geselowitz,1,0,0,0,JS,1,AJSR,3
Meir,Geshuri,1,1,0,1,JS,2,MJ,3
Indira,Gesink,1,0,0,1,RS,5,JAAR,3
Rupert,Gethin,1,1,0,1,RS,4,JAAR,1
Rupert,Gethin,1,1,0,1,RS,3,JAAR,3
Arsalan,Geula,2,1,0,1,JS,1,JQR,3
Bruce,Gevirtzman,1,1,0,1,JS,3,PRO,3
Martin,Geyer,1,1,0,1,JS,1,JSS,3
Yonatan,Gez,1,1,0,1,RS,5,JAAR,3
Mohammad,Gholi Majd,2,1,0,1,JS,1,JSS,3
Anthony,Giddens,2,1,0,1,RS,5,JAAR,3
Anthony,Giddens,2,1,0,1,RS,5,JAAR,3
Saskia,Gieling,1,0,0,0,RS,5,JAAR,3
Simone,Gigliotti,1,0,0,0,JS,3,PRO,3
Noam,Gil,0,1,1,1,JS,3,PRO,3
Dan,Giladi,4,1,0,1,JS,1,MJ,3
Amotz,Giladi,1,1,0,1,JS,3,PRO,3
Sam,Gill,1,1,0,1,RS,5,JAAR,3
Moshe,Gill,2,1,0,0,JS,1,JQR,3
Pinchas,Giller,1,1,0,0,JS,1,JSS,3
Sharon,Gillerman,1,0,0,0,JS,1,JSS,3
Abigail,Gillman,1,0,0,0,JS,2,MJ,3
Sander,Gilman,1,1,0,1,JS,5,MJ,3
Sander,Gilman,1,1,0,1,JS,5,AJSR,3
Sander,Gilman,1,1,0,0,JS,3,PRO,3
Sander,Gilman,1,1,0,1,JS,5,JSS,3
Sander,Gilman,3,1,0,0,JS,1,JSS,3
Sander,Gilman,1,1,0,0,JS,1,JSS,3
Sander,Gilman,1,1,0,1,JS,1,JSS,3
HL,Ginsberg,2,1,0,1,JS,4,PRO,1
Louis,Ginsburg,3,1,0,0,JS,4,AJSR,1
Ruth,Ginsburg,3,0,0,0,JS,3,PRO,3
Giuseppe,Giordan,1,1,0,0,RS,5,JAAR,3
Sam,Girgus,1,1,0,0,JS,3,PRO,3
Noel,Gist,1,1,0,0,JS,1,JSS,3
David,Gitlitz,5,1,0,1,JS,4,AJSR,1
Dwora,Giulia,1,0,0,0,JS,1,JSS,3
Benjamin,Gladstone,1,1,0,1,JS,5,AJSR,3
Helmut,Glaser,1,1,0,0,JS,1,JQR,3
Jennifer,Glaser,1,0,0,1,JS,3,PRO,3
Jennifer,Glaser,2,0,0,0,JS,3,PRO,3
Yankev,Glatshteyn,1,1,0,1,JS,3,PRO,3
Eddi,Glaude,2,1,0,0,RS,1,JAAR,3
Nathan,Glazer,1,1,0,1,JS,1,MJ,3
Nathan,Glazer,1,1,0,1,JS,5,JSS,3
Robert,Gleave,2,1,0,1,JS,2,JQR,2
Christine,Gledhill,1,0,0,1,JS,1,JQR,3
Ann,Gleig,1,0,0,0,RS,5,JAAR,3
Michael,Glenday,1,1,0,0,JS,3,PRO,3
Susan,Glenn,2,0,0,0,JS,1,AJSR,3
Lewis,Glinert,1,1,0,0,JS,3,JQR,3
Ezra,Glinter,1,1,0,1,JS,3,PRO,3
Ezra,Glinter,1,1,0,1,JS,5,JSS,3
Avraham Hanoch,Glitzenstein,1,1,0,1,JS,1,AJSR,3
Victor,Gluck,1,1,0,1,JS,5,JSS,3
Michael,Gluzman,1,1,0,0,JS,3,PRO,3
Michael,Gluzman,1,1,0,0,JS,1,JSS,3
Allen,Godbey,1,1,0,0,RS,5,JAAR,3
Terry,Godlove,3,1,0,1,RS,5,JAAR,3
Terry,Godlove,2,1,0,1,RS,5,JAAR,3
Phillip,Goff,1,1,0,0,RS,1,JAAR,3
Erving,Goffman,1,1,0,0,RS,5,JAAR,3
Oliver St. John,Gogarty,1,1,0,0,JS,3,PRO,3
SD,Goitein,1,1,0,0,JS,1,JQR,3
SD,Goitein,2,1,0,0,JS,1,JQR,3
Pradee,Gokhale,1,1,0,1,RS,2,JAAR,1
Asher,Golak,1,1,0,1,JS,1,MJ,3
Daniel,Gold,1,1,0,0,RS,5,JAAR,3
Abraham,Goldberg,1,1,0,1,JS,2,JQR,2
Natalie,Goldberg,1,0,0,1,JS,2,MJ,3
Chad,Goldberg,1,1,0,0,JS,1,AJSR,3
Leah,Goldberg,2,0,0,0,JS,3,PRO,3
Amos,Goldberg,2,1,0,0,JS,3,PRO,3
Harvey,Goldberg,1,1,0,0,JS,1,JSS,3
Daniel Jonah,Goldhagen,1,1,0,1,JS,1,JQR,3
Daniel,Goldhagen,1,1,0,1,JS,5,MJ,3
Eric,Goldman,1,1,0,0,JS,1,MJ,3
LH,Goldman,3,1,0,0,JS,3,PRO,3
Eva,Goldschmidt,2,0,0,1,JS,1,MJ,3
Daniel,Goldschmidt,1,1,0,1,JS,4,AJSR,1
Melvyn,Goldstein,1,1,0,1,RS,5,JAAR,3
Miram,Goldstein,1,0,0,1,JS,2,JQR,2
Jonathan,Goldstein,5,1,0,1,JS,4,JQR,1
Yossi,Goldstein,1,1,0,0,JS,1,MJ,3
Amir,Goldstein,2,1,1,1,JS,1,MJ,3
Eric,Goldstein,1,1,0,1,JS,5,AJSR,3
Eric,Goldstein,0,1,1,1,JS,1,JSS,3
Louis,Golomb,2,1,0,1,RS,5,JAAR,3
Michael,Golston,3,1,0,0,JS,3,PRO,3
Hermann,Goltz,1,1,0,0,RS,5,JAAR,3
Richar,Gombrich,4,1,0,1,RS,4,JAAR,1
Richard,Gombrich,2,1,0,1,RS,5,JAAR,3
Richard,Gombrich,1,1,0,0,RS,5,JAAR,3
Richard,Gombrich,1,1,0,1,RS,5,JAAR,3
Peter,Gomes,1,1,0,0,RS,1,JAAR,3
Luis,Gomez,2,1,0,1,RS,2,JAAR,1
N,Gonis,1,1,0,1,JS,4,AJSR,1
Henry,Gonshak,1,1,0,0,JS,3,PRO,3
David,Gooblar,1,1,0,0,JS,3,PRO,3
David,Goodblatt,1,1,0,1,JS,4,AJSR,1
Thyrza,Goodeve,2,0,0,0,RS,4,JAAR,1
Thyrza,Goodeve,2,0,0,0,RS,4,JAAR,1
Eugene,Goodheart,1,1,0,0,JS,3,PRO,3
Lenn,Goodman,1,1,0,1,RS,2,JAAR,3
David,Goodman,2,1,0,1,JS,5,MJ,3
Martin,Goodman,6,1,0,1,JS,4,AJSR,1
David,Goodman,2,1,0,0,JS,5,AJSR,3
Zilla,Goodman,1,0,0,0,JS,3,PRO,3
Laurie,Goodstein,1,0,0,0,RS,1,JAAR,3
Marc,Gopin,1,1,0,0,JS,1,JSS,3
Adam,Gopnik,1,1,0,1,JS,2,JQR,3
Katarzyna,Gorak-Sosnowska,1,0,0,0,RS,5,JAAR,3
Robert,Gordis,1,1,0,1,JS,1,JSS,3
Avery,Gordon,1,1,0,1,RS,5,JAAR,3
Benjamin,Gordon,0,1,1,1,JS,4,AJSR,1
Lewis,Gordon,1,1,0,1,JS,5,AJSR,3
Linda,Gordon,2,0,0,0,JS,1,JSS,3
Arthur,Goren,3,1,0,1,JS,1,MJ,3
Yosef,Gorni,3,1,0,1,JS,1,MJ,3
Stephen,Gossett,1,1,0,1,JS,5,AJSR,3
Yaakov,Gottleib,1,1,0,1,JS,1,AJSR,3
Avraham,Gottlober,1,1,0,0,JS,1,AJSR,3
Margaret,Gouin,1,0,0,1,RS,5,JAAR,3
William,Gould,1,1,0,1,RS,1,JAAR,3
Caroline,Gould,1,0,0,0,JS,3,PRO,3
Stephen,Gould Axelrod,1,1,0,0,JS,3,PRO,3
Nicole,Goulet,1,0,0,1,RS,1,JAAR,3
Nurit,Govrin,8,0,0,0,JS,3,PRO,3
Andrew,Gow,1,1,0,0,JS,3,JQR,3
Isaak,Graanboom,1,1,0,0,JS,1,AJSR,3
Eden,Grace,1,0,0,0,RS,1,JAAR,3
George,Graen,1,1,0,0,JS,1,MJ,3
Michael,Graetz,1,1,0,1,JS,2,MJ,3
Michael,Graetz,1,1,0,0,JS,1,JSS,3
David,Graf,1,1,0,1,JS,4,AJSR,1
Anthony,Grafton,1,1,0,1,JS,4,JQR,1
John,Grainger,2,1,0,1,JS,4,JQR,1
Tamir,Granot,3,1,0,1,JS,1,MJ,3
Rhiannon,Grant,0,0,1,0,RS,1,JAAR,3
Yehuda,Grasovsky-Gur,1,1,0,1,JS,1,MJ,3
Mikael,Gravers,2,1,0,1,RS,5,JAAR,3
Cristopher,Gray,1,1,0,1,RS,5,JAAR,3
Rhiannon,Graybill,1,0,1,0,RS,4,JAAR,1
Rhiannon,Graybill,1,0,1,0,RS,4,JAAR,1
Arthur,Green,2,1,0,1,JS,2,JQR,3
Reut,Green,1,0,0,1,JS,1,MJ,3
Naomi,Green,0,0,1,0,JS,1,MJ,3
Deborah,Green,1,0,0,0,JS,4,AJSR,1
Nile,Green,1,1,0,1,JS,1,JSS,3
Abigail,Green,2,0,0,1,JS,1,JSS,3
Nancy,Green,1,0,0,1,JS,1,JSS,3
Arthur,Green,5,1,0,1,JS,2,JSS,3
Arthur,Green ,1,1,0,1,JS,1,AJSR,3
David,Greenberg,1,1,0,1,JS,1,MJ,3
Gershon,Greenberg,1,1,0,1,JS,1,AJSR,3
Cheryl,Greenberg,2,0,0,1,JS,5,AJSR,3
Blu,Greenberg,3,1,0,1,JS,1,JSS,3
Simon,Greenberg,1,1,0,1,JS,1,JSS,3
Rachel,Greenblatt,2,0,0,0,JS,3,JQR,3
Joseph,Greenblum,1,1,0,1,JS,1,MJ,3
Jessica,Greenebaum,2,0,0,1,JS,5,AJSR,3
Paul,Greenhalgh,1,1,0,1,RS,1,JAAR,3
Beth,Greenhough,1,0,0,0,RS,4,JAAR,1
Beth,Greenhough,1,0,0,0,RS,4,JAAR,1
Carol,Greenhouse,1,0,0,0,RS,1,JAAR,3
Michael,Greenstein,1,1,0,0,JS,3,PRO,3
James,Gregory,1,1,0,1,RS,5,JAAR,3
Eric,Gregory,1,1,0,1,RS,2,JAAR,3
Mark,Greif,2,1,0,0,JS,3,PRO,3
Inderpal,Grewal,1,0,0,0,RS,1,JAAR,3
Jonathan,Gribetz,9,1,1,1,JS,5,AJSR,3
Jonathan,Gribetz,2,1,0,0,JS,5,AJSR,3
Paul,Grice,4,1,0,1,JS,4,JQR,1
Zeev,Gries,1,1,0,1,JS,2,MJ,3
Zeev,Gries,1,1,0,0,JS,1,JSS,3
Zeev,Gries,6,1,0,1,JS,2,JSS,3
Patricia,Grieve,1,0,0,0,JS,1,JSS,3
Marie,Griffith,1,0,0,0,JS,4,JQR,1
Denis,Gril,1,1,0,1,RS,2,JAAR,2
Ronald,Grimes,5,1,0,1,JS,4,AJSR,1
Jacob,Grimm,1,1,0,0,JS,3,JQR,3
Wilhelm,Grimm,1,1,0,0,JS,3,JQR,3
Elizabet,Grobsmith,1,0,0,1,RS,5,JAAR,3
Yosef,Grodzinsky,1,1,0,0,JS,3,PRO,3
Valentin,Groebner,4,1,0,0,JS,1,JQR,3
Earl,Grollman,1,1,0,1,JS,1,JSS,3
Aaron,Gross,1,1,0,0,RS,4,JAAR,1
Aaron,Gross,1,1,0,0,RS,4,JAAR,1
Nachum,Gross,1,1,0,1,JS,1,MJ,3
Rachel,Gross,1,0,0,0,JS,1,AJSR,3
Rachel,Gross,1,0,0,0,JS,5,AJSR,3
Natan,Gross,2,1,0,0,JS,3,PRO,3
Yaakov,Gross,2,1,0,0,JS,3,PRO,3
Jan Tomasz,Gross ,4,1,0,1,JS,1,JSS,3
Avraham,Grossman,1,1,0,0,JS,3,PRO,2
Atina,Grossman,3,0,0,0,JS,1,JSS,3
Rebekka,Grossmann,0,0,1,0,JS,1,JSS,3
Atina,Grossmann,2,0,0,1,JS,1,JSS,3
Andrew,Grotto,1,1,0,0,RS,5,JAAR,3
Joel,Gruber,0,1,1,1,RS,5,JAAR,3
Erich,Gruen,1,1,0,1,JS,4,JQR,1
Erich,Gruen,1,1,0,1,JS,4,JQR,1
Erich,Gruen,1,1,0,1,JS,4,AJSR,1
Julie,Gruenbaum-Fax,3,0,0,0,JS,5,AJSR,3
Ithamar,Gruenwald,1,1,0,1,JS,4,AJSR,1
Catherine,Guerin-Gonzalez,2,0,0,1,RS,5,JAAR,3
Francois,Guesnet,1,1,0,0,JS,3,JQR,3
Alessandro,Guetta,5,1,0,0,JS,1,JSS,3
Ranajit,Guha,2,1,0,1,RS,5,JAAR,3
Lais,Guimaraes,1,0,0,1,RS,5,JAAR,3
Robert,Gulick,1,1,0,1,RS,5,JAAR,3
RD,Gunaratne,1,1,0,1,RS,2,JAAR,1
Zeli,Gurevich,5,1,0,0,JS,1,JSS,3
Zali,Gurevitch,3,1,0,1,JS,3,PRO,3
Jeffrey,Gurock,3,1,0,1,JS,1,JSS,3
Hugh,Gusterson,2,1,0,0,RS,1,JAAR,3
Dmitri,Gutas,1,1,0,1,JS,4,AJSR,2
Felix,Guttari,1,1,0,0,JS,3,JSS,3
Neria,Guttel,8,1,0,1,JS,1,MJ,3
Corry,Guttstadt,1,0,0,1,JS,1,JSS,3
Danny,Gutwein,1,1,0,1,JS,1,MJ,3
Daniel,Gutwein,1,1,0,0,JS,3,PRO,3
Eliezer,Gutwirth,2,1,0,0,JS,1,JQR,3
Jane,Guyer,4,0,0,1,RS,2,JAAR,3
Jane,Guyer,1,0,0,0,RS,5,JAAR,3
John,Guzlowski,1,1,0,1,JS,3,PRO,3
Lawrence,H.,1,1,0,1,JS,4,AJSR,1
Jurgen,Habermas,1,1,0,0,RS,5,JAAR,3
Jurgen,Habermas,4,1,0,1,RS,5,JAAR,3
Raymond,Haberski,1,1,0,1,RS,5,JAAR,3
Christian,Habicht,1,1,0,1,JS,4,JQR,1
Joseph,Hacker,6,1,0,0,JS,1,JQR,3
Ruth,HaCohen,1,0,0,1,JS,3,PRO,3
Ever,Hadani,2,1,0,1,JS,1,MJ,3
Moses,Hadas,1,1,0,1,JS,4,JQR,1
Janet,Hadda,1,0,0,1,JS,3,PRO,3
Janet,Hadda,4,0,0,0,JS,3,PRO,3
Janet,Hadda,1,0,0,1,JS,3,PRO,3
Kirk,Haddaway,1,1,0,1,RS,5,JAAR,3
Susan,Haedicke,1,0,0,1,JS,5,JSS,3
Rudolph,Haensch,1,1,0,0,JS,4,JQR,1
Niloofar,Haeri,2,0,0,0,RS,5,JAAR,3
Everett,Hagen,1,1,0,1,RS,5,JAAR,3
Frederik,Hagen,1,1,0,0,JS,1,JQR,3
Martin,Hagglund,1,1,1,0,RS,2,JAAR,3
Aaron,Hahn Tapper,1,1,0,0,JS,1,AJSR,3
Sabine,Hak,1,0,0,0,JS,3,PRO,3
Lev,Hakak,3,1,0,0,JS,1,JSS,3
Shirin,Hakimzadeh,1,0,0,0,RS,5,JAAR,3
Aviva,Halamish,1,0,0,1,JS,1,MJ,3
Yekusiah Yehuda,Halberstam,1,1,0,1,JS,1,MJ,3
Chone,Halberstam,1,1,0,1,JS,2,MJ,3
Jack,Halberstam,1,0,0,0,JS,3,PRO,3
Moshe,Halbertal,1,1,0,1,RS,2,JAAR,3
Moshe,Halbertal,1,1,0,1,JS,2,JQR,2
Moshe,Halbertal,1,1,0,1,JS,1,AJSR,3
John,Hale,1,1,0,1,JS,2,MJ,3
Gershon,Halevi,1,1,0,1,JS,1,MJ,3
Yehoshua,Halevy,2,1,0,1,JS,1,MJ,3
Abraham,Halkin,2,1,0,1,JS,2,JQR,2
Stuart,Hall,1,1,0,1,RS,5,JAAR,3
Billy,Hall,2,1,0,0,RS,4,JAAR,1
Billy,Hall,2,1,0,0,RS,4,JAAR,1
Catherine,Hall,1,0,0,0,JS,1,JSS,3
Wael,Hallaq,9,1,0,1,JS,2,JQR,2
Lisa,Hallstrom,2,0,0,0,RS,5,JAAR,3
Yehuda,Halper,3,1,1,1,JS,4,AJSR,2
Liora,Halperin,1,0,0,0,JS,1,AJSR,3
